BGGId,Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,ComMinPlaytime,ComMaxPlaytime,IsReimplementation,Kickstarted,Score_strategygames,Score_abstracts,Score_familygames,Score_thematic,Score_cgs,Score_wargames,Score_partygames,Score_childrensgames,Rating,Avg_popularity_log,NumAlternates_log,NumImplementations_log,NumExpansions_log,NumWeightVotes_log,Cluster_KMeans,Cluster_Ward,Cluster_DBSCAN
111124,Dark Moon,2011,2.3554,3,7,12.0,60.0,75.0,0,0,0.0,0.0,0.0,0.0041493775933609,0.0,0.0,0.0,0.0,2,7.663564220666793,0.6931471805599453,0.0,0.6931471805599453,4.804021044733257,0,0,0
11357,Brewhouse Bash,1998,1.5455,2,10,10.0,30.0,45.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.132496328186477,0.0,0.0,0.0,2.4849066497880004,1,0,0
8160,Illuminati: Crime Lords,2004,2.6,2,6,18.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.470869131746186,0.0,0.0,0.0,3.4339872044851463,0,1,0
286145,Walking in Provence,2019,1.8571,2,5,10.0,20.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.621607866467185,1.0986122886681098,0.0,0.0,2.079441541679836,1,0,0
308126,The Coding,2020,1.9545,2,4,7.0,10.0,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.044522437723423,0.0,0.0,0.0,3.1354942159291497,1,0,0
5733,Star Wars Lightsaber Dueling,1988,2.0,2,2,8.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0009514747859181,0.0,0.0003679175864606,0.0,0.0,2,4.553876891600541,0.0,0.0,0.0,2.302585092994046,1,0,0
85036,20th Century,2010,2.9778,3,5,12.0,120.0,120.0,0,0,0.001098901098901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.725433722188183,1.6094379124341005,0.0,0.0,4.912654885736052,0,0,0
220672,Shop 'N Time,2017,1.0,2,8,6.0,15.0,15.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.054120406035994,0.0,0.0,0.0,1.3862943611198906,1,0,0
228504,Cat Lady,2017,1.4737,2,4,7.0,15.0,30.0,0,0,0.0,0.0,0.0044052863436123,0.0,0.0,0.0,0.0,0.0,3,7.907774226387005,1.3862943611198906,0.6931471805599453,1.0986122886681098,4.564348191467836,1,0,0
182178,Jester,2015,3.25,2,4,12.0,45.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.477336814478207,0.0,0.0,0.0,2.19722457733622,0,0,0
9041,Dark Eden,1997,3.0,2,4,14.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0054054054054054,0.0003295978905735,0.0,0.0,2,3.884994333040227,0.6931471805599453,0.0,0.0,1.9459101490553128,0,1,0
4175,Diskwars: Legend of the Five Rings,2000,2.4286,2,6,14.0,45.0,45.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0002912904165452,0.0,0.0,1,4.4148164574968725,0.0,0.6931471805599453,0.0,2.079441541679836,1,0,0
15275,Prelude to Disaster: The Soviet Spring Offensive,1992,4.2,2,2,16.0,180.0,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0005040322580645,0.0,0.0,2,4.718498871295094,1.0986122886681098,0.0,0.0,2.3978952727983707,0,1,0
