BGGId,Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,ComMinPlaytime,ComMaxPlaytime,IsReimplementation,Kickstarted,Score_strategygames,Score_abstracts,Score_familygames,Score_thematic,Score_cgs,Score_wargames,Score_partygames,Score_childrensgames,Rating,Avg_popularity_log,NumAlternates_log,NumImplementations_log,NumExpansions_log,NumWeightVotes_log
101118,"Borodino: Napoleon in Russia, 1812",2012,2.3,2,2,13.0,210.0,210.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0006622516556291391,0.0,0.0,3,4.628235458919088,0.0,0.0,0.0,2.3978952727983707
190082,Whitehall Mystery,2017,2.1212,2,4,13.0,45.0,60.0,1,0,0.0027397260273972603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7.829099885158971,1.6094379124341003,0.6931471805599453,0.0,4.605170185988092
93094,Gotcha!,2011,1.25,3,8,10.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.137829674161839,0.0,0.0,0.0,1.6094379124341003
86246,Drum Roll,2011,3.0559,2,4,11.0,90.0,90.0,0,1,0.0011376564277588168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.921986861228861,0.0,0.0,2.0794415416798357,5.087596335232384
5886,Die Dracheninsel,2003,1.25,3,6,10.0,60.0,60.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.3694478524670215,0.0,0.0,0.0,1.6094379124341003
274841,Cóatl,2020,2.0513,1,4,10.0,30.0,60.0,0,0,0.0,0.014705882352941176,0.002288329519450801,0.0,0.0,0.0,0.0,0.0,3,7.201419423111465,1.9459101490553132,0.6931471805599453,0.0,3.6888794541139363
124757,Famous Fastballs: The World's Smallest Baseball Game,2012,1.0,2,2,10.0,30.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.272025739459553,0.0,0.0,0.0,1.9459101490553132
3502,Star of the Guardians,1995,2.0,2,2,11.0,20.0,20.0,0,0,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.0,0.0,1,3.912023005428146,0.0,0.0,0.0,1.6094379124341003
6778,The Settlers of Zarahemla,2003,2.54,2,4,8.0,90.0,90.0,1,0,0.0006591957811470006,0.0,0.0009652509652509653,0.0,0.0,0.0,0.0,0.0,2,5.801110818616763,0.0,0.6931471805599453,0.6931471805599453,3.9318256327243257
212839,Heroes Welcome,2019,2.6667,2,5,8.0,60.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.25922997783999,0.0,0.0,0.6931471805599453,1.3862943611198906
273779,Under Falling Skies: A 9-Card Print-and-Play Game,2019,2.6471,1,1,10.0,20.0,40.0,0,0,0.0008257638315441783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6.234410725718371,0.6931471805599453,0.6931471805599453,0.0,3.5553480614894135
